source	name	p_value	intersection_size	effective_domain_size	precision	recall
GO:BP	cellular response to environmental stimulus	8.398139883371444e-07	5	21026	1.0	0.014749262536873156
GO:BP	cellular response to abiotic stimulus	8.398139883371444e-07	5	21026	1.0	0.014749262536873156
GO:BP	negative regulation of cell cycle	1.432826539965285e-06	5	21026	1.0	0.013262599469496022
GO:BP	regulation of cell cycle phase transition	2.679077941311616e-06	5	21026	1.0	0.0117096018735363
GO:BP	regulation of mitotic cell cycle	5.457881176849452e-06	5	21026	1.0	0.01016260162601626
GO:BP	cell cycle phase transition	8.080241442367215e-06	5	21026	1.0	0.009398496240601503
GO:BP	regulation of cell cycle process	3.6869795555197276e-05	5	21026	1.0	0.006944444444444444
GO:BP	mitotic cell cycle process	4.375149078318079e-05	5	21026	1.0	0.006711409395973154
GO:BP	negative regulation of mitotic cell cycle	5.024781310005212e-05	4	21026	0.8	0.017777777777777778
GO:BP	negative regulation of cell cycle phase transition	7.4283968438243e-05	4	21026	0.8	0.016129032258064516
GO:BP	mitotic cell cycle	0.00010789467525477155	5	21026	1.0	0.005605381165919282
GO:BP	DNA replication	0.00012617139319822857	4	21026	0.8	0.014134275618374558
GO:BP	growth	0.0001322661962551813	5	21026	1.0	0.005382131324004306
GO:BP	negative regulation of cell cycle process	0.00013724578790105362	4	21026	0.8	0.01384083044982699
GO:BP	regulation of mitotic cell cycle phase transition	0.0002251744457716592	4	21026	0.8	0.012232415902140673
GO:BP	regulation of cell cycle	0.0002905357415918987	5	21026	1.0	0.004599816007359705
GO:BP	cellular response to ionizing radiation	0.00030406729991020175	3	21026	0.6	0.041666666666666664
GO:BP	response to abiotic stimulus	0.0003753026015636553	5	21026	1.0	0.004370629370629371
GO:BP	cell cycle process	0.0006587272961673899	5	21026	1.0	0.00390625
GO:BP	mitotic cell cycle phase transition	0.0006611533918961496	4	21026	0.8	0.009345794392523364
GO:MF	protease binding	0.0006625672299210599	3	20246	0.6	0.02127659574468085
GO:BP	response to radiation	0.0007185016320380329	4	21026	0.8	0.009153318077803204
GO:BP	cellular senescence	0.0008478836349445717	3	21026	0.6	0.0297029702970297
GO:BP	intrinsic apoptotic signaling pathway in response to DNA damage	0.0009534878930923414	3	21026	0.6	0.02857142857142857
GO:BP	regulation of response to stress	0.000984692103868168	5	21026	1.0	0.003604902667627974
GO:CC	lateral element	0.0010810231486766096	2	22149	0.4	0.125
GO:BP	DNA damage checkpoint signaling	0.001222297028605003	3	21026	0.6	0.02631578947368421
GO:BP	regulation of cellular response to stress	0.0014280324583915858	4	21026	0.8	0.007707129094412331
GO:BP	DNA integrity checkpoint signaling	0.0015372545438127984	3	21026	0.6	0.024390243902439025
GO:CC	DNA repair complex	0.002277716230088183	2	22149	0.4	0.08695652173913043
GO:BP	response to ionizing radiation	0.0023200494299513365	3	21026	0.6	0.02127659574468085
GO:BP	cell cycle	0.00244286853441648	5	21026	1.0	0.003006614552014432
GO:MF	enzyme binding	0.002460658948872298	5	20246	1.0	0.0023730422401518746
GO:BP	regulation of reactive oxygen species metabolic process	0.0024718878709033025	3	21026	0.6	0.020833333333333332
GO:BP	regulation of growth	0.002615114228414895	4	21026	0.8	0.006622516556291391
GO:BP	regulation of G1/S transition of mitotic cell cycle	0.0027950804585481137	3	21026	0.6	0.02
GO:BP	response to UV-C	0.002797736811983561	2	21026	0.4	0.15384615384615385
GO:BP	DNA repair	0.002921058400957161	4	21026	0.8	0.00644122383252818
GO:MF	identical protein binding	0.002931388800605741	5	20246	1.0	0.00229147571035747
GO:BP	response to UV	0.00308491503832103	3	21026	0.6	0.01935483870967742
GO:BP	cellular response to stress	0.003943964775994178	5	21026	1.0	0.00273224043715847
GO:BP	chordate embryonic development	0.003976771815965117	4	21026	0.8	0.005961251862891207
GO:BP	negative regulation of mitotic cell cycle phase transition	0.004218355886037438	3	21026	0.6	0.01744186046511628
GO:BP	signal transduction in response to DNA damage	0.004292489435084248	3	21026	0.6	0.017341040462427744
GO:BP	embryo development ending in birth or egg hatching	0.004496006872098887	4	21026	0.8	0.005780346820809248
GO:BP	regulation of cell cycle G1/S phase transition	0.004520068771916559	3	21026	0.6	0.017045454545454544
GO:BP	cellular response to radiation	0.004998969927385993	3	21026	0.6	0.016483516483516484
GO:BP	apoptotic process	0.005054625177234831	5	21026	1.0	0.0026001040041601664
GO:BP	cell cycle checkpoint signaling	0.0052505545205959025	3	21026	0.6	0.016216216216216217
GO:BP	regulation of intracellular signal transduction	0.005461834003482393	5	21026	1.0	0.002560163850486431
GO:BP	programmed cell death	0.005954629227795998	5	21026	1.0	0.0025163563160543532
GO:BP	cell death	0.006014867809013247	5	21026	1.0	0.0025113008538422904
GO:BP	brain development	0.006326231732450972	4	21026	0.8	0.005305039787798408
GO:MF	ubiquitin protein ligase binding	0.006767247837382493	3	20246	0.6	0.00980392156862745
GO:BP	G1/S transition of mitotic cell cycle	0.006836153440963967	3	21026	0.6	0.01485148514851485
REAC	DNA Double-Strand Break Repair	0.007026492970577572	3	11004	0.6	0.01764705882352941
GO:CC	synaptonemal structure	0.007370322622785871	2	22149	0.4	0.04878048780487805
GO:CC	synaptonemal complex	0.007370322622785871	2	22149	0.4	0.04878048780487805
GO:BP	circadian rhythm	0.007680928242194193	3	21026	0.6	0.014285714285714285
GO:MF	ubiquitin-like protein ligase binding	0.008026663444580062	3	20246	0.6	0.009259259259259259
GO:BP	head development	0.008247796642549456	4	21026	0.8	0.004962779156327543
GO:BP	regulation of DNA damage checkpoint	0.008278511503713264	2	21026	0.4	0.09090909090909091
REAC	Impaired BRCA2 binding to PALB2	0.009009672349905191	2	11004	0.4	0.08333333333333333
REAC	Defective homologous recombination repair (HRR) due to BRCA1 loss of function	0.00979134009504979	2	11004	0.4	0.08
REAC	Defective homologous recombination repair (HRR) due to PALB2 loss of function	0.00979134009504979	2	11004	0.4	0.08
REAC	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function	0.00979134009504979	2	11004	0.4	0.08
REAC	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function	0.00979134009504979	2	11004	0.4	0.08
GO:BP	negative regulation of growth	0.009828610364649997	3	21026	0.6	0.013157894736842105
GO:BP	cell cycle G1/S phase transition	0.010089245637791924	3	21026	0.6	0.013043478260869565
GO:BP	reactive oxygen species metabolic process	0.010221263974808143	3	21026	0.6	0.012987012987012988
GO:CC	nuclear ubiquitin ligase complex	0.01056247997694555	2	22149	0.4	0.04081632653061224
GO:MF	catalytic activity, acting on a protein	0.011135980993326033	5	20246	1.0	0.001755001755001755
REAC	Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	0.011451698828122133	2	11004	0.4	0.07407407407407407
GO:BP	DNA damage response	0.013242287172623128	4	21026	0.8	0.004405286343612335
GO:BP	response to X-ray	0.014540419593822658	2	21026	0.4	0.06896551724137931
REAC	Impaired BRCA2 binding to RAD51	0.019384174240890742	2	11004	0.4	0.05714285714285714
GO:BP	DNA metabolic process	0.019810620497763626	4	21026	0.8	0.003980099502487562
REAC	Resolution of D-loop Structures through Holliday Junction Intermediates	0.02052068315189321	2	11004	0.4	0.05555555555555555
REAC	Resolution of D-Loop Structures	0.021689344003016302	2	11004	0.4	0.05405405405405406
GO:CC	germ cell nucleus	0.022275167919576174	2	22149	0.4	0.028169014084507043
REAC	PIP3 activates AKT signaling	0.022760771146706195	3	11004	0.6	0.011904761904761904
GO:MF	p53 binding	0.023019551247568538	2	20246	0.4	0.028985507246376812
GO:BP	rhythmic process	0.023476419923643656	3	21026	0.6	0.009836065573770493
REAC	Ovarian tumor domain proteases	0.02412305071618532	2	11004	0.4	0.05128205128205128
GO:BP	central nervous system development	0.024562314111188425	4	21026	0.8	0.003770028275212064
GO:BP	intrinsic apoptotic signaling pathway	0.025123107315844037	3	21026	0.6	0.009615384615384616
GO:BP	regulation of glial cell proliferation	0.02515556703334322	2	21026	0.4	0.05263157894736842
REAC	Presynaptic phase of homologous DNA pairing and strand exchange	0.025388061185645388	2	11004	0.4	0.05
REAC	Disease	0.02603032438606706	5	11004	1.0	0.0027129679869777536
REAC	Diseases of DNA Double-Strand Break Repair	0.026685152810052595	2	11004	0.4	0.04878048780487805
REAC	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	0.026685152810052595	2	11004	0.4	0.04878048780487805
GO:BP	double-strand break repair	0.026844452401824436	3	21026	0.6	0.009404388714733543
GO:BP	negative regulation of multicellular organismal process	0.027035651861632877	4	21026	0.8	0.0036798528058877645
GO:BP	response to light stimulus	0.027862214691935422	3	21026	0.6	0.009287925696594427
REAC	Homologous DNA Pairing and Strand Exchange	0.029375508791910466	2	11004	0.4	0.046511627906976744
GO:CC	condensed nuclear chromosome	0.029739339348117892	2	22149	0.4	0.024390243902439025
GO:BP	embryo development	0.03208303987930933	4	21026	0.8	0.003524229074889868
GO:BP	negative regulation of reactive oxygen species metabolic process	0.03229682045116798	2	21026	0.4	0.046511627906976744
GO:BP	circulatory system development	0.033217073209448555	4	21026	0.8	0.0034934497816593887
REAC	Intracellular signaling by second messengers	0.035272528786534724	3	11004	0.6	0.010273972602739725
GO:BP	regulation of cellular senescence	0.0354017311465271	2	21026	0.4	0.044444444444444446
GO:BP	gliogenesis	0.0360131638516652	3	21026	0.6	0.008522727272727272
